"Nomenclature","ReporterISO3","ProductCode","ReporterName","PartnerISO3","PartnerName","Year","TradeFlowName","TradeFlowCode","TradeValue in 1000 USD","Quantity","QuantityToken","QtyUnit","ProductDescription","NetWeight in KGM","Reporter Region","Reporter Income Group","Partner Region","Partner Income Group"
"H1","ABW","020450","Aruba","ANT","Netherlands Antilles",2009,"Gross Imp.",1,0.209,70,8,"Kg","Meat of goats",70,"Latin America & Caribbean","High income","Others","Others"
"H1","ABW","020450","Aruba","ANT","Netherlands Antilles",2009,"Import",5,0.209,70,8,"Kg","Meat of goats",70,"Latin America & Caribbean","High income","Others","Others"
"H1","ABW","020450","Aruba","ARG","Argentina",2009,"Gross Imp.",1,7.197,2511,8,"Kg","Meat of goats",2511,"Latin America & Caribbean","High income","Latin America & Caribbean","Upper middle income"
"H1","ABW","020450","Aruba","ARG","Argentina",2009,"Import",5,7.197,2511,8,"Kg","Meat of goats",2511,"Latin America & Caribbean","High income","Latin America & Caribbean","Upper middle income"
"H1","ABW","020450","Aruba","ARG","Argentina",2011,"Gross Imp.",1,73.01,15957,8,"Kg","Meat of goats",15957,"Latin America & Caribbean","High income","Latin America & Caribbean","Upper middle income"
"H1","ABW","020450","Aruba","ARG","Argentina",2011,"Import",5,73.01,15957,8,"Kg","Meat of goats",15957,"Latin America & Caribbean","High income","Latin America & Caribbean","Upper middle income"
"H1","ABW","020450","Aruba","BRA","Brazil",2009,"Gross Imp.",1,6.191,1596,8,"Kg","Meat of goats",1596,"Latin America & Caribbean","High income","Latin America & Caribbean","Upper middle income"
"H1","ABW","020450","Aruba","BRA","Brazil",2009,"Import",5,6.191,1596,8,"Kg","Meat of goats",1596,"Latin America & Caribbean","High income","Latin America & Caribbean","Upper middle income"
"H1","ABW","020450","Aruba","BRA","Brazil",2010,"Gross Imp.",1,16.522,5110,8,"Kg","Meat of goats",5110,"Latin America & Caribbean","High income","Latin America & Caribbean","Upper middle income"
"H1","ABW","020450","Aruba","BRA","Brazil",2010,"Import",5,16.522,5110,8,"Kg","Meat of goats",5110,"Latin America & Caribbean","High income","Latin America & Caribbean","Upper middle income"
"H1","ABW","020450","Aruba","CAN","Canada",2009,"Gross Imp.",1,1.406,456,8,"Kg","Meat of goats",456,"Latin America & Caribbean","High income","North America","High income"
"H1","ABW","020450","Aruba","CAN","Canada",2009,"Import",5,1.406,456,8,"Kg","Meat of goats",456,"Latin America & Caribbean","High income","North America","High income"
"H1","ABW","020450","Aruba","ESP","Spain",2013,"Gross Imp.",1,32.939,8620,8,"Kg","Meat of goats",8620,"Latin America & Caribbean","High income","Europe & Central Asia","High income"
"H1","ABW","020450","Aruba","ESP","Spain",2013,"Import",5,32.939,8620,8,"Kg","Meat of goats",8620,"Latin America & Caribbean","High income","Europe & Central Asia","High income"
"H1","ABW","020450","Aruba","ESP","Spain",2020,"Gross Imp.",1,80.048,22548.7,8,"Kg","Meat of goats",22549,"Latin America & Caribbean","High income","Europe & Central Asia","High income"
"H1","ABW","020450","Aruba","ESP","Spain",2020,"Import",5,80.048,22548.7,8,"Kg","Meat of goats",22549,"Latin America & Caribbean","High income","Europe & Central Asia","High income"
"H1","ABW","020450","Aruba","ESP","Spain",2021,"Gross Imp.",1,105.773,23233.9,8,"Kg","Meat of goats",23234,"Latin America & Caribbean","High income","Europe & Central Asia","High income"
"H1","ABW","020450","Aruba","ESP","Spain",2021,"Import",5,105.773,23233.9,8,"Kg","Meat of goats",23234,"Latin America & Caribbean","High income","Europe & Central Asia","High income"
"H1","ABW","020450","Aruba","NLD","Netherlands",2011,"Gross Imp.",1,9.282,1454,8,"Kg","Meat of goats",1454,"Latin America & Caribbean","High income","Europe & Central Asia","High income"
"H1","ABW","020450","Aruba","NLD","Netherlands",2011,"Import",5,9.282,1454,8,"Kg","Meat of goats",1454,"Latin America & Caribbean","High income","Europe & Central Asia","High income"
"H1","ABW","020450","Aruba","NLD","Netherlands",2012,"Gross Imp.",1,10.03,3211,8,"Kg","Meat of goats",3211,"Latin America & Caribbean","High income","Europe & Central Asia","High income"
"H1","ABW","020450","Aruba","NLD","Netherlands",2012,"Import",5,10.03,3211,8,"Kg","Meat of goats",3211,"Latin America & Caribbean","High income","Europe & Central Asia","High income"
"H1","ABW","020450","Aruba","NLD","Netherlands",2018,"Gross Imp.",1,28.162,7221,8,"Kg","Meat of goats",7221,"Latin America & Caribbean","High income","Europe & Central Asia","High income"
"H1","ABW","020450","Aruba","NLD","Netherlands",2018,"Import",5,28.162,7221,8,"Kg","Meat of goats",7221,"Latin America & Caribbean","High income","Europe & Central Asia","High income"
"H1","ABW","020450","Aruba","NLD","Netherlands",2019,"Gross Imp.",1,1.492,400,8,"Kg","Meat of goats",400,"Latin America & Caribbean","High income","Europe & Central Asia","High income"
"H1","ABW","020450","Aruba","NLD","Netherlands",2019,"Import",5,1.492,400,8,"Kg","Meat of goats",400,"Latin America & Caribbean","High income","Europe & Central Asia","High income"
"H1","ABW","020450","Aruba","NLD","Netherlands",2021,"Gross Imp.",1,9.031,817,8,"Kg","Meat of goats",817,"Latin America & Caribbean","High income","Europe & Central Asia","High income"
"H1","ABW","020450","Aruba","NLD","Netherlands",2021,"Import",5,9.031,817,8,"Kg","Meat of goats",817,"Latin America & Caribbean","High income","Europe & Central Asia","High income"
"H1","ABW","020450","Aruba","UNS","Unspecified",2009,"Gross Imp.",1,116.965,37819,8,"Kg","Meat of goats",37819,"Latin America & Caribbean","High income","Others","Others"
"H1","ABW","020450","Aruba","UNS","Unspecified",2009,"Import",5,116.965,37819,8,"Kg","Meat of goats",37819,"Latin America & Caribbean","High income","Others","Others"
"H1","ABW","020450","Aruba","UNS","Unspecified",2012,"Gross Imp.",1,54.028,11888,8,"Kg","Meat of goats",11888,"Latin America & Caribbean","High income","Others","Others"
"H1","ABW","020450","Aruba","UNS","Unspecified",2012,"Import",5,54.028,11888,8,"Kg","Meat of goats",11888,"Latin America & Caribbean","High income","Others","Others"
"H1","ABW","020450","Aruba","UNS","Unspecified",2015,"Gross Imp.",1,34.719,8849,8,"Kg","Meat of goats",8849,"Latin America & Caribbean","High income","Others","Others"
"H1","ABW","020450","Aruba","UNS","Unspecified",2015,"Import",5,34.719,8849,8,"Kg","Meat of goats",8849,"Latin America & Caribbean","High income","Others","Others"
"H1","ABW","020450","Aruba","UNS","Unspecified",2016,"Gross Imp.",1,106.573,30791.8,8,"Kg","Meat of goats",30792,"Latin America & Caribbean","High income","Others","Others"
"H1","ABW","020450","Aruba","UNS","Unspecified",2016,"Import",5,106.573,30791.8,8,"Kg","Meat of goats",30792,"Latin America & Caribbean","High income","Others","Others"
"H1","ABW","020450","Aruba","UNS","Unspecified",2018,"Gross Imp.",1,63.898,17252,8,"Kg","Meat of goats",17252,"Latin America & Caribbean","High income","Others","Others"
"H1","ABW","020450","Aruba","UNS","Unspecified",2018,"Import",5,63.898,17252,8,"Kg","Meat of goats",17252,"Latin America & Caribbean","High income","Others","Others"
"H1","ABW","020450","Aruba","UNS","Unspecified",2021,"Gross Imp.",1,42.436,9496,8,"Kg","Meat of goats",9496,"Latin America & Caribbean","High income","Others","Others"
"H1","ABW","020450","Aruba","UNS","Unspecified",2021,"Import",5,42.436,9496,8,"Kg","Meat of goats",9496,"Latin America & Caribbean","High income","Others","Others"
"H1","ABW","020450","Aruba","USA","United States",2009,"Gross Imp.",1,27.737,14791,8,"Kg","Meat of goats",14791,"Latin America & Caribbean","High income","North America","High income"
"H1","ABW","020450","Aruba","USA","United States",2009,"Import",5,27.737,14791,8,"Kg","Meat of goats",14791,"Latin America & Caribbean","High income","North America","High income"
"H1","ABW","020450","Aruba","USA","United States",2010,"Gross Imp.",1,0.619,198,8,"Kg","Meat of goats",198,"Latin America & Caribbean","High income","North America","High income"
"H1","ABW","020450","Aruba","USA","United States",2010,"Import",5,0.619,198,8,"Kg","Meat of goats",198,"Latin America & Caribbean","High income","North America","High income"
"H1","ABW","020450","Aruba","USA","United States",2011,"Gross Imp.",1,3.713,934,8,"Kg","Meat of goats",934,"Latin America & Caribbean","High income","North America","High income"
"H1","ABW","020450","Aruba","USA","United States",2011,"Import",5,3.713,934,8,"Kg","Meat of goats",934,"Latin America & Caribbean","High income","North America","High income"
"H1","ABW","020450","Aruba","USA","United States",2012,"Gross Imp.",1,21.2,5578,8,"Kg","Meat of goats",5578,"Latin America & Caribbean","High income","North America","High income"
"H1","ABW","020450","Aruba","USA","United States",2012,"Import",5,21.2,5578,8,"Kg","Meat of goats",5578,"Latin America & Caribbean","High income","North America","High income"
"H1","ABW","020450","Aruba","USA","United States",2013,"Gross Imp.",1,35.467,10751,8,"Kg","Meat of goats",10751,"Latin America & Caribbean","High income","North America","High income"
"H1","ABW","020450","Aruba","USA","United States",2013,"Import",5,35.467,10751,8,"Kg","Meat of goats",10751,"Latin America & Caribbean","High income","North America","High income"
"H1","ABW","020450","Aruba","USA","United States",2014,"Gross Imp.",1,8.204,1366,8,"Kg","Meat of goats",1366,"Latin America & Caribbean","High income","North America","High income"
"H1","ABW","020450","Aruba","USA","United States",2014,"Import",5,8.204,1366,8,"Kg","Meat of goats",1366,"Latin America & Caribbean","High income","North America","High income"
"H1","ABW","020450","Aruba","USA","United States",2016,"Gross Imp.",1,59.835,16300,8,"Kg","Meat of goats",16300,"Latin America & Caribbean","High income","North America","High income"
"H1","ABW","020450","Aruba","USA","United States",2016,"Import",5,59.835,16300,8,"Kg","Meat of goats",16300,"Latin America & Caribbean","High income","North America","High income"
"H1","ABW","020450","Aruba","USA","United States",2017,"Gross Imp.",1,2.452,200,8,"Kg","Meat of goats",200,"Latin America & Caribbean","High income","North America","High income"
"H1","ABW","020450","Aruba","USA","United States",2017,"Import",5,2.452,200,8,"Kg","Meat of goats",200,"Latin America & Caribbean","High income","North America","High income"
"H1","ABW","020450","Aruba","USA","United States",2018,"Gross Imp.",1,34.201,4905.99,8,"Kg","Meat of goats",4906,"Latin America & Caribbean","High income","North America","High income"
"H1","ABW","020450","Aruba","USA","United States",2018,"Import",5,34.201,4905.99,8,"Kg","Meat of goats",4906,"Latin America & Caribbean","High income","North America","High income"
"H1","ABW","020450","Aruba","USA","United States",2019,"Gross Imp.",1,14.362,1232.02,8,"Kg","Meat of goats",1232,"Latin America & Caribbean","High income","North America","High income"
"H1","ABW","020450","Aruba","USA","United States",2019,"Import",5,14.362,1232.02,8,"Kg","Meat of goats",1232,"Latin America & Caribbean","High income","North America","High income"
"H1","ABW","020450","Aruba","USA","United States",2020,"Gross Imp.",1,2.255,202,8,"Kg","Meat of goats",202,"Latin America & Caribbean","High income","North America","High income"
"H1","ABW","020450","Aruba","USA","United States",2020,"Import",5,2.255,202,8,"Kg","Meat of goats",202,"Latin America & Caribbean","High income","North America","High income"
"H1","ABW","020450","Aruba","USA","United States",2021,"Gross Imp.",1,7.275,475.43,8,"Kg","Meat of goats",475,"Latin America & Caribbean","High income","North America","High income"
"H1","ABW","020450","Aruba","USA","United States",2021,"Import",5,7.275,475.43,8,"Kg","Meat of goats",475,"Latin America & Caribbean","High income","North America","High income"
"H1","AFG","020450","Afghanistan","ARE","United Arab Emirates",2011,"Gross Imp.",1,3.441,1254,8,"Kg","Meat of goats",1254,"South Asia","Low income","Middle East & North Africa","High income"
"H1","AFG","020450","Afghanistan","ARE","United Arab Emirates",2011,"Import",5,3.441,1254,8,"Kg","Meat of goats",1254,"South Asia","Low income","Middle East & North Africa","High income"
"H1","AGO","020450","Angola","ARG","Argentina",2009,"Gross Imp.",1,119.966,22895,8,"Kg","Meat of goats",22895,"Sub-Saharan Africa","Lower middle income","Latin America & Caribbean","Upper middle income"
"H1","AGO","020450","Angola","ARG","Argentina",2009,"Import",5,119.966,22895,8,"Kg","Meat of goats",22895,"Sub-Saharan Africa","Lower middle income","Latin America & Caribbean","Upper middle income"
"H1","AGO","020450","Angola","ARG","Argentina",2010,"Gross Imp.",1,39.303,13632,8,"Kg","Meat of goats",13632,"Sub-Saharan Africa","Lower middle income","Latin America & Caribbean","Upper middle income"
"H1","AGO","020450","Angola","ARG","Argentina",2010,"Import",5,39.303,13632,8,"Kg","Meat of goats",13632,"Sub-Saharan Africa","Lower middle income","Latin America & Caribbean","Upper middle income"
"H1","AGO","020450","Angola","ARG","Argentina",2011,"Gross Imp.",1,160.313,43624,8,"Kg","Meat of goats",43624,"Sub-Saharan Africa","Lower middle income","Latin America & Caribbean","Upper middle income"
"H1","AGO","020450","Angola","ARG","Argentina",2011,"Import",5,160.313,43624,8,"Kg","Meat of goats",43624,"Sub-Saharan Africa","Lower middle income","Latin America & Caribbean","Upper middle income"
"H1","AGO","020450","Angola","ARG","Argentina",2012,"Gross Imp.",1,39.72,9481,8,"Kg","Meat of goats",9481,"Sub-Saharan Africa","Lower middle income","Latin America & Caribbean","Upper middle income"
"H1","AGO","020450","Angola","ARG","Argentina",2012,"Import",5,39.72,9481,8,"Kg","Meat of goats",9481,"Sub-Saharan Africa","Lower middle income","Latin America & Caribbean","Upper middle income"
"H1","AGO","020450","Angola","ARG","Argentina",2013,"Gross Imp.",1,61.412,13551,8,"Kg","Meat of goats",13551,"Sub-Saharan Africa","Lower middle income","Latin America & Caribbean","Upper middle income"
