"Nomenclature","ReporterISO3","ProductCode","ReporterName","PartnerISO3","PartnerName","Year","TradeFlowName","TradeFlowCode","TradeValue in 1000 USD","Quantity","QuantityToken","QtyUnit","ProductDescription","NetWeight in KGM","Reporter Region","Reporter Income Group","Partner Region","Partner Income Group"
"H1","ABW","0104","Aruba","ANT","Netherlands Antilles",2000,"Gross Imp.",1,1.872,330,8,"Kg","Live sheep and goats.",330,"Latin America & Caribbean","High income","Others","Others"
"H1","ABW","0104","Aruba","ANT","Netherlands Antilles",2000,"Import",5,1.872,330,8,"Kg","Live sheep and goats.",330,"Latin America & Caribbean","High income","Others","Others"
"H1","ABW","0104","Aruba","ANT","Netherlands Antilles",2002,"Gross Imp.",1,0.151,20,8,"Kg","Live sheep and goats.",20,"Latin America & Caribbean","High income","Others","Others"
"H1","ABW","0104","Aruba","ANT","Netherlands Antilles",2002,"Import",5,0.151,20,8,"Kg","Live sheep and goats.",20,"Latin America & Caribbean","High income","Others","Others"
"H1","ABW","0104","Aruba","ANT","Netherlands Antilles",2003,"Gross Imp.",1,4.061,2380,8,"Kg","Live sheep and goats.",2380,"Latin America & Caribbean","High income","Others","Others"
"H1","ABW","0104","Aruba","ANT","Netherlands Antilles",2003,"Import",5,4.061,2380,8,"Kg","Live sheep and goats.",2380,"Latin America & Caribbean","High income","Others","Others"
"H1","ABW","0104","Aruba","ANT","Netherlands Antilles",2006,"Gross Imp.",1,27.111,273,8,"Kg","Live sheep and goats.",273,"Latin America & Caribbean","High income","Others","Others"
"H1","ABW","0104","Aruba","ANT","Netherlands Antilles",2006,"Import",5,27.111,273,8,"Kg","Live sheep and goats.",273,"Latin America & Caribbean","High income","Others","Others"
"H1","ABW","0104","Aruba","ANT","Netherlands Antilles",2007,"Gross Imp.",1,1.177,860,8,"Kg","Live sheep and goats.",860,"Latin America & Caribbean","High income","Others","Others"
"H1","ABW","0104","Aruba","ANT","Netherlands Antilles",2007,"Import",5,1.177,860,8,"Kg","Live sheep and goats.",860,"Latin America & Caribbean","High income","Others","Others"
"H1","ABW","0104","Aruba","ANT","Netherlands Antilles",2008,"Gross Imp.",1,2.324,170,8,"Kg","Live sheep and goats.",170,"Latin America & Caribbean","High income","Others","Others"
"H1","ABW","0104","Aruba","ANT","Netherlands Antilles",2008,"Import",5,2.324,170,8,"Kg","Live sheep and goats.",170,"Latin America & Caribbean","High income","Others","Others"
"H1","ABW","0104","Aruba","COL","Colombia",2000,"Gross Imp.",1,26.575,16800,8,"Kg","Live sheep and goats.",16800,"Latin America & Caribbean","High income","Latin America & Caribbean","Upper middle income"
"H1","ABW","0104","Aruba","COL","Colombia",2000,"Import",5,26.575,16800,8,"Kg","Live sheep and goats.",16800,"Latin America & Caribbean","High income","Latin America & Caribbean","Upper middle income"
"H1","ABW","0104","Aruba","COL","Colombia",2001,"Gross Imp.",1,25.168,19840,8,"Kg","Live sheep and goats.",19840,"Latin America & Caribbean","High income","Latin America & Caribbean","Upper middle income"
"H1","ABW","0104","Aruba","COL","Colombia",2001,"Import",5,25.168,19840,8,"Kg","Live sheep and goats.",19840,"Latin America & Caribbean","High income","Latin America & Caribbean","Upper middle income"
"H1","ABW","0104","Aruba","COL","Colombia",2002,"Gross Imp.",1,11.447,16790,8,"Kg","Live sheep and goats.",16790,"Latin America & Caribbean","High income","Latin America & Caribbean","Upper middle income"
"H1","ABW","0104","Aruba","COL","Colombia",2002,"Import",5,11.447,16790,8,"Kg","Live sheep and goats.",16790,"Latin America & Caribbean","High income","Latin America & Caribbean","Upper middle income"
"H1","ABW","0104","Aruba","COL","Colombia",2003,"Gross Imp.",1,19.849,19790,8,"Kg","Live sheep and goats.",19790,"Latin America & Caribbean","High income","Latin America & Caribbean","Upper middle income"
"H1","ABW","0104","Aruba","COL","Colombia",2003,"Import",5,19.849,19790,8,"Kg","Live sheep and goats.",19790,"Latin America & Caribbean","High income","Latin America & Caribbean","Upper middle income"
"H1","ABW","0104","Aruba","COL","Colombia",2004,"Gross Imp.",1,13.151,15970,8,"Kg","Live sheep and goats.",15970,"Latin America & Caribbean","High income","Latin America & Caribbean","Upper middle income"
"H1","ABW","0104","Aruba","COL","Colombia",2004,"Import",5,13.151,15970,8,"Kg","Live sheep and goats.",15970,"Latin America & Caribbean","High income","Latin America & Caribbean","Upper middle income"
"H1","ABW","0104","Aruba","COL","Colombia",2006,"Gross Imp.",1,13.101,12620,8,"Kg","Live sheep and goats.",12620,"Latin America & Caribbean","High income","Latin America & Caribbean","Upper middle income"
"H1","ABW","0104","Aruba","COL","Colombia",2006,"Import",5,13.101,12620,8,"Kg","Live sheep and goats.",12620,"Latin America & Caribbean","High income","Latin America & Caribbean","Upper middle income"
"H1","ABW","0104","Aruba","COL","Colombia",2007,"Gross Imp.",1,3.631,3200,8,"Kg","Live sheep and goats.",3200,"Latin America & Caribbean","High income","Latin America & Caribbean","Upper middle income"
"H1","ABW","0104","Aruba","COL","Colombia",2007,"Import",5,3.631,3200,8,"Kg","Live sheep and goats.",3200,"Latin America & Caribbean","High income","Latin America & Caribbean","Upper middle income"
"H1","ABW","0104","Aruba","CUW","Curaçao",2012,"Gross Imp.",1,0.159,,1,"N.Q.","Live sheep and goats.",45,"Latin America & Caribbean","High income","Latin America & Caribbean","High income"
"H1","ABW","0104","Aruba","CUW","Curaçao",2012,"Import",5,0.159,,1,"N.Q.","Live sheep and goats.",45,"Latin America & Caribbean","High income","Latin America & Caribbean","High income"
"H1","ABW","0104","Aruba","CUW","Curaçao",2021,"Gross Imp.",1,5.33,47.884,5,"Item","Live sheep and goats.",830,"Latin America & Caribbean","High income","Latin America & Caribbean","High income"
"H1","ABW","0104","Aruba","CUW","Curaçao",2021,"Import",5,5.33,47.884,5,"Item","Live sheep and goats.",830,"Latin America & Caribbean","High income","Latin America & Caribbean","High income"
"H1","ABW","0104","Aruba","DOM","Dominican Republic",2003,"Gross Imp.",1,2.793,2500,8,"Kg","Live sheep and goats.",2500,"Latin America & Caribbean","High income","Latin America & Caribbean","Upper middle income"
"H1","ABW","0104","Aruba","DOM","Dominican Republic",2003,"Import",5,2.793,2500,8,"Kg","Live sheep and goats.",2500,"Latin America & Caribbean","High income","Latin America & Caribbean","Upper middle income"
"H1","ABW","0104","Aruba","HND","Honduras",2000,"Gross Imp.",1,3.419,2350,8,"Kg","Live sheep and goats.",2350,"Latin America & Caribbean","High income","Latin America & Caribbean","Lower middle income"
"H1","ABW","0104","Aruba","HND","Honduras",2000,"Import",5,3.419,2350,8,"Kg","Live sheep and goats.",2350,"Latin America & Caribbean","High income","Latin America & Caribbean","Lower middle income"
"H1","ABW","0104","Aruba","HND","Honduras",2001,"Gross Imp.",1,3.922,3600,8,"Kg","Live sheep and goats.",3600,"Latin America & Caribbean","High income","Latin America & Caribbean","Lower middle income"
"H1","ABW","0104","Aruba","HND","Honduras",2001,"Import",5,3.922,3600,8,"Kg","Live sheep and goats.",3600,"Latin America & Caribbean","High income","Latin America & Caribbean","Lower middle income"
"H1","ABW","0104","Aruba","HND","Honduras",2003,"Gross Imp.",1,1.268,3260,8,"Kg","Live sheep and goats.",3260,"Latin America & Caribbean","High income","Latin America & Caribbean","Lower middle income"
"H1","ABW","0104","Aruba","HND","Honduras",2003,"Import",5,1.268,3260,8,"Kg","Live sheep and goats.",3260,"Latin America & Caribbean","High income","Latin America & Caribbean","Lower middle income"
"H1","ABW","0104","Aruba","NLD","Netherlands",2000,"Gross Imp.",1,0.168,30,8,"Kg","Live sheep and goats.",30,"Latin America & Caribbean","High income","Europe & Central Asia","High income"
"H1","ABW","0104","Aruba","NLD","Netherlands",2000,"Import",5,0.168,30,8,"Kg","Live sheep and goats.",30,"Latin America & Caribbean","High income","Europe & Central Asia","High income"
"H1","ABW","0104","Aruba","PAN","Panama",2002,"Gross Imp.",1,0.279,100,8,"Kg","Live sheep and goats.",100,"Latin America & Caribbean","High income","Latin America & Caribbean","High income"
"H1","ABW","0104","Aruba","PAN","Panama",2002,"Import",5,0.279,100,8,"Kg","Live sheep and goats.",100,"Latin America & Caribbean","High income","Latin America & Caribbean","High income"
"H1","ABW","0104","Aruba","UNS","Unspecified",2015,"Gross Imp.",1,6.507,,1,"N.Q.","Live sheep and goats.",107,"Latin America & Caribbean","High income","Others","Others"
"H1","ABW","0104","Aruba","UNS","Unspecified",2015,"Import",5,6.507,,1,"N.Q.","Live sheep and goats.",107,"Latin America & Caribbean","High income","Others","Others"
"H1","ABW","0104","Aruba","USA","United States",2000,"Gross Imp.",1,14.972,1540,8,"Kg","Live sheep and goats.",1540,"Latin America & Caribbean","High income","North America","High income"
"H1","ABW","0104","Aruba","USA","United States",2000,"Import",5,14.972,1540,8,"Kg","Live sheep and goats.",1540,"Latin America & Caribbean","High income","North America","High income"
"H1","ABW","0104","Aruba","USA","United States",2003,"Gross Imp.",1,34.402,1680,8,"Kg","Live sheep and goats.",1680,"Latin America & Caribbean","High income","North America","High income"
"H1","ABW","0104","Aruba","USA","United States",2003,"Import",5,34.402,1680,8,"Kg","Live sheep and goats.",1680,"Latin America & Caribbean","High income","North America","High income"
"H1","ABW","0104","Aruba","USA","United States",2008,"Gross Imp.",1,6.851,907,8,"Kg","Live sheep and goats.",907,"Latin America & Caribbean","High income","North America","High income"
"H1","ABW","0104","Aruba","USA","United States",2008,"Import",5,6.851,907,8,"Kg","Live sheep and goats.",907,"Latin America & Caribbean","High income","North America","High income"
"H1","ABW","0104","Aruba","USA","United States",2010,"Gross Imp.",1,89.002,1316,5,"Item","Live sheep and goats.",2752,"Latin America & Caribbean","High income","North America","High income"
"H1","ABW","0104","Aruba","USA","United States",2010,"Import",5,89.002,1316,5,"Item","Live sheep and goats.",2752,"Latin America & Caribbean","High income","North America","High income"
"H1","ABW","0104","Aruba","USA","United States",2011,"Gross Imp.",1,54.627,,1,"N.Q.","Live sheep and goats.",3643,"Latin America & Caribbean","High income","North America","High income"
"H1","ABW","0104","Aruba","USA","United States",2011,"Import",5,54.627,,1,"N.Q.","Live sheep and goats.",3643,"Latin America & Caribbean","High income","North America","High income"
"H1","ABW","0104","Aruba","USA","United States",2013,"Gross Imp.",1,67.913,,1,"N.Q.","Live sheep and goats.",2332,"Latin America & Caribbean","High income","North America","High income"
"H1","ABW","0104","Aruba","USA","United States",2013,"Import",5,67.913,,1,"N.Q.","Live sheep and goats.",2332,"Latin America & Caribbean","High income","North America","High income"
"H1","ABW","0104","Aruba","VEN","Venezuela",2003,"Gross Imp.",1,0.782,2000,8,"Kg","Live sheep and goats.",2000,"Latin America & Caribbean","High income","Latin America & Caribbean","Upper middle income"
"H1","ABW","0104","Aruba","VEN","Venezuela",2003,"Import",5,0.782,2000,8,"Kg","Live sheep and goats.",2000,"Latin America & Caribbean","High income","Latin America & Caribbean","Upper middle income"
"H1","ABW","0104","Aruba","VEN","Venezuela",2004,"Gross Imp.",1,4.196,4860,8,"Kg","Live sheep and goats.",4860,"Latin America & Caribbean","High income","Latin America & Caribbean","Upper middle income"
"H1","ABW","0104","Aruba","VEN","Venezuela",2004,"Import",5,4.196,4860,8,"Kg","Live sheep and goats.",4860,"Latin America & Caribbean","High income","Latin America & Caribbean","Upper middle income"
"H1","ABW","0104","Aruba","VEN","Venezuela",2007,"Gross Imp.",1,1.844,990,8,"Kg","Live sheep and goats.",990,"Latin America & Caribbean","High income","Latin America & Caribbean","Upper middle income"
"H1","ABW","0104","Aruba","VEN","Venezuela",2007,"Import",5,1.844,990,8,"Kg","Live sheep and goats.",990,"Latin America & Caribbean","High income","Latin America & Caribbean","Upper middle income"
"H1","AFG","0104","Afghanistan","KAZ","Kazakhstan",2017,"Gross Imp.",1,93.071,1719,5,"Item","Live sheep and goats.",34375,"South Asia","Low income","Europe & Central Asia","Upper middle income"
"H1","AFG","0104","Afghanistan","KAZ","Kazakhstan",2017,"Import",5,93.071,1719,5,"Item","Live sheep and goats.",34375,"South Asia","Low income","Europe & Central Asia","Upper middle income"
"H1","AFG","0104","Afghanistan","KAZ","Kazakhstan",2019,"Gross Imp.",1,35.962,325,5,"Item","Live sheep and goats.",12488,"South Asia","Low income","Europe & Central Asia","Upper middle income"
"H1","AFG","0104","Afghanistan","KAZ","Kazakhstan",2019,"Import",5,35.962,325,5,"Item","Live sheep and goats.",12488,"South Asia","Low income","Europe & Central Asia","Upper middle income"
